postal_code,locality,median_cadastral_income,median_area,median_rooms,median_number_floors,median_bathrooms,median_toilets,median_facades_number,median_primary_energy_consumption
1755,None,800.0,203.0,3.0,3.0,1.0,1.0,2.0,960.0
1760,None,1323.5,250.0,4.0,2.5,1.0,1.5,3.5,89.5
1780,None,2181.0,252.0,4.5,2.0,1.5,2.0,3.5,123.5
1785,None,974.0,103.0,2.0,2.0,1.0,1.0,3.0,303.0
1790,None,948.0,292.0,5.0,3.0,1.0,1.0,3.0,125.0
1800,None,1000.0,149.5,3.0,3.0,1.0,2.0,2.0,180.0
1820,None,1643.0,193.0,4.0,2.0,1.0,2.0,3.0,304.0
1830,None,800.0,85.0,3.0,3.0,1.0,1.0,2.0,281.0
1831,None,800.0,275.0,5.0,2.0,2.0,3.0,4.0,232.0
1850,None,1447.0,177.5,3.0,2.0,1.0,2.0,3.0,266.0
1851,None,1387.0,185.5,3.0,1.5,1.5,2.5,4.0,416.0
1853,None,1138.5,95.0,2.0,3.0,1.0,1.0,2.0,281.0
1860,None,1936.5,185.0,3.0,2.0,1.0,2.0,4.0,311.0
1861,None,1098.0,163.5,3.0,1.5,1.0,2.0,4.0,469.5
1880,None,1192.0,205.5,3.5,2.0,1.0,2.0,3.5,354.0
1910,None,21.0,119.0,3.0,3.0,1.0,1.0,4.0,232.0
1930,None,896.0,141.0,3.0,3.0,1.0,2.0,3.0,195.0
1932,None,1009.0,82.0,2.0,8.5,1.0,1.0,3.0,152.0
1933,None,1799.0,180.0,3.0,3.0,2.0,2.0,2.5,143.0
1950,None,1251.0,206.5,3.5,3.0,2.0,2.0,3.0,243.0
1980,None,626.0,171.0,3.0,2.0,1.0,2.0,3.0,249.0
1981,None,634.5,174.0,3.0,2.0,1.0,2.0,4.0,473.0
1982,None,1390.0,170.0,3.0,2.0,1.0,2.0,4.0,172.0
2000,antwerp,897.0,113.0,2.0,5.0,1.0,1.0,2.0,165.0
2018,antwerp,887.0,102.0,2.0,4.0,1.0,1.0,2.0,192.0
2020,antwerp,713.0,94.0,2.0,3.0,1.0,1.0,2.0,205.5
2030,antwerp,470.0,128.0,3.0,3.0,1.0,2.0,3.0,238.0
2040,antwerp,800.0,467.5,3.0,3.0,1.0,1.0,3.5,232.0
2050,antwerp,1025.0,98.0,2.0,3.0,1.0,1.0,4.0,137.0
2060,antwerp,647.0,77.0,2.0,3.0,1.0,1.0,2.0,230.0
2070,None,663.0,157.0,3.0,2.0,1.0,2.0,2.0,251.0
2100,None,750.0,95.0,2.0,3.0,1.0,1.0,2.0,209.0
2140,antwerp,707.0,98.0,2.0,4.0,1.0,1.0,2.0,188.0
2150,None,743.0,86.0,2.0,3.0,1.0,1.0,2.0,504.0
2160,None,780.0,130.0,2.0,3.0,1.0,1.0,3.0,258.0
2170,None,634.0,101.0,2.0,2.0,1.0,1.0,2.0,238.0
2180,None,706.0,166.0,3.0,3.0,1.0,2.0,2.0,240.0
2200,None,1341.0,146.5,3.0,2.0,1.0,1.5,3.0,482.0
2220,None,856.0,183.0,3.0,2.0,1.0,2.0,3.0,174.0
2221,None,616.0,293.5,3.0,3.0,1.0,2.0,3.0,496.5
2222,None,736.5,176.0,3.0,4.0,1.0,2.0,3.5,56.0
